path_in_archive	size_bytes	compressed_bytes	crc32
97/ChEBI2Reactome.txt	14459535	1467044	331f3174
97/ChEBI2ReactomeReactions.txt	31146455	3481526	9b9588e2
97/ChEBI2Reactome_All_Levels.txt	37553966	3406360	1349ddd8
97/ChEBI2Reactome_PE_All_Levels.txt	65320788	4579774	7dc22179
97/ChEBI2Reactome_PE_Pathway.txt	22714860	1894190	45c9c706
97/ChEBI2Reactome_PE_Reactions.txt	43010581	4035988	be24d40a
97/ComplexParticipantsPubMedIdentifiers_human.txt	3690987	635867	ca38b8c8
97/Complex_2_Pathway_human.txt	1168246	130356	c8e108a0
97/Ensembl2Reactome.txt	183277348	21979391	86c7ba10
97/Ensembl2ReactomeReactions.txt	457574498	61565282	2c2ebe3c
97/Ensembl2Reactome_All_Levels.txt	504035190	52332609	b0d45ea8
97/Ensembl2Reactome_PE_All_Levels.txt	1071634450	82630437	d7845408
97/Ensembl2Reactome_PE_Pathway.txt	352702676	35557851	8aaefad2
97/Ensembl2Reactome_PE_Reactions.txt	756530553	78580712	b7785be5
97/Ewas2Pathway_human.txt	3387001	350973	fb7409ab
97/GtoP2Reactome.txt	2256807	173649	9257eac8
97/GtoP2ReactomeReactions.txt	3797178	299478	d9d5d7c6
97/GtoP2Reactome_All_Levels.txt	7435332	510744	d0ce922d
97/GtoP2Reactome_PE_All_Levels.txt	11581548	650932	74386e81
97/GtoP2Reactome_PE_Pathway.txt	3429390	227629	3d994230
97/GtoP2Reactome_PE_Reactions.txt	5537810	364885	167fa391
97/HumanDiseasePathways.txt	44925	13110	3181ea44
97/IntAct_Static.txt	9054303	1931302	9cdc44a2
97/LowerLevelPathway2Topic.txt	2339524	410074	b432154f
97/LowerLevelPathway2Topic_Human.txt	276348	50501	b6666d61
97/NCBI2Reactome.txt	35534151	4560829	987ae184
97/NCBI2ReactomeReactions.txt	87379384	12652025	cb516009
97/NCBI2Reactome_All_Levels.txt	98024930	11022102	b857322e
97/NCBI2Reactome_PE_All_Levels.txt	210089095	17660459	e58eb875
97/NCBI2Reactome_PE_Pathway.txt	69119873	7597636	fa0cd23b
97/NCBI2Reactome_PE_Reactions.txt	146434786	16482409	63ca24f2
97/Pathways2GoTerms_human.txt	61112	20200	34e16bfb
97/ProteinRoleReaction.txt	41742284	5235963	d0dca7eb
97/ReactionPMIDS.txt	1131516	280081	586349f0
97/Reactions2GoTerms_human.txt	507226	140494	97b7b9ac
97/Reactome2OMIM.txt	19621950	3816925	426da363
97/ReactomePathways.gmt.zip	298479	298479	30912f59
97/ReactomePathways.txt	1592393	392457	8f4c6d3f
97/ReactomePathwaysRelation.txt	634259	123681	ebc3d805
97/ReactomeToBioSystems.zip	18288522	18288522	3e41e0b2
97/TheReactomeBook.pdf.tgz	1109825949	1108616490	63fdfb5d
97/UniProt2Reactome.txt	43041375	5737748	ff3bfbf8
97/UniProt2ReactomeReactions.txt	104601613	15603193	2bb6e44f
97/UniProt2Reactome_All_Levels.txt	117823518	13564088	5eec021b
97/UniProt2Reactome_PE_All_Levels.txt	246968257	21123648	5d6c2cc0
97/UniProt2Reactome_PE_Pathway.txt	82115581	9365853	920cd43e
97/UniProt2Reactome_PE_Reactions.txt	173629313	19957402	c4e45e62
97/UniProt_Entity_LiteratureReferences.txt	6456848	1551388	677ee200
97/all_species.3.1.sbml.tgz	223766394	221358794	f3675fde
97/biopax.zip	173989993	173989993	eba1ba56
97/biopax2.zip	152910494	152910494	610a697f
97/databases/gk_current.sql.gz	120801967	118414995	72db64e7
97/databases/gk_stable_ids.sql.gz	264450002	257358269	450d655d
97/diagram/10104354.graph.json	52959	5495	1aff69f4
97/diagram/10104354.json	79519	8336	858093e7
97/diagram/10104356.graph.json	714	270	f7be6ab1
97/diagram/10104356.json	1733	485	23070617
97/diagram/10104362.graph.json	85206	8785	58340aa6
97/diagram/10104362.json	127487	12705	bcaef821
97/diagram/10104364.graph.json	101516	10331	69bbd0d8
97/diagram/10104364.json	143982	14830	7a756163
97/diagram/10104366.graph.json	1058	294	5abd9720
97/diagram/10104366.json	6681	1144	fbda9f9a
97/diagram/10104368.graph.json	858	266	a27e1c90
97/diagram/10104368.json	2161	495	a8b4b52a
97/diagram/10104370.graph.json	24223	2781	e80a10b3
97/diagram/10104370.json	45324	5131	66ef9df4
97/diagram/10104374.graph.json	120423	13741	37e019a9
97/diagram/10104374.json	267229	26663	66bd4455
97/diagram/10104402.graph.json	28155	3579	34ba491e
97/diagram/10104402.json	87350	9535	c7749af7
97/diagram/10104404.graph.json	1164	316	630f5785
97/diagram/10104404.json	2792	617	035910c5
97/diagram/10104406.graph.json	346987	22883	98d7a284
97/diagram/10104406.json	33629	4203	a5978fc1
97/diagram/10104408.graph.json	100310	11746	b4fd1434
97/diagram/10104408.json	272817	25617	8cce06e5
97/diagram/10104410.graph.json	1723	400	3604add9
